objid,u,g,r,i,z,ra,dec
1237657190906265729,19.644669,18.754942,18.435432,18.147774,18.133595,2.33899169,-0.14125159
1237663783661535442,19.704124,18.307823,17.795338,17.488132,17.289001,2.34967519,-0.40003004
1237652947452952698,19.327667,17.53224,16.642637,16.231489,15.915926,2.35221205,-10.09399097
1237657189832523967,20.325781,18.774132,17.830229,17.24284,16.846958,2.36426256,-0.91197187
1237652946916082051,21.592339,21.095518,19.282438,18.635124,18.151045,2.38843263,-10.47639727
1237657189832523909,20.207605,19.167179,18.708998,18.420767,18.316072,2.39153533,-0.9240585
1237663783124730014,23.648542,20.519356,18.666502,18.033548,17.687525,2.40234956,-0.81835291
1237652943176335834,22.143173,20.614439,18.811262,18.114161,17.717909,2.4035508,14.87871583
1237652947989823851,21.338255,19.792286,17.8501,17.267454,16.837029,2.40908489,-9.70716569
1237672793961398807,22.455883,21.745152,20.617668,19.607134,19.26552,2.417753,-9.27123446
1237663275781324899,18.302374,17.393957,17.075037,16.872007,16.761263,2.41818712,-1.25022674
1237663278465679475,20.399971,19.46825,19.089165,18.840618,18.688082,2.42946828,0.99082096
1237663278465679478,19.864071,18.078611,17.17555,16.760319,16.425287,2.43015971,0.98674037
1237652947452953021,22.707525,22.078228,20.644773,19.867731,19.596176,2.43743597,-10.13491777
1237663277928808650,20.610897,19.561825,18.857599,18.485401,18.215492,2.43770657,0.58299326
1237652946379210890,19.204233,17.582253,16.407591,15.93496,15.606658,2.44624198,-10.96947185
1237672793961529564,26.339888,20.874016,19.048582,18.304941,17.827522,2.45004231,-9.61023919
1237652947989823978,22.77422,21.108541,19.453449,18.857237,18.498007,2.45195478,-9.72993682
1237652942102593699,20.269434,18.776075,17.920086,17.428968,17.124397,2.4520437,13.96994535
1237652946379210853,19.564453,18.83095,18.444195,18.232063,18.233448,2.45330776,-11.03518988
1237652942639464961,25.307743,20.746222,18.814297,18.086607,17.644205,2.47503199,14.35746026
1237656496188490106,24.89135,21.508801,19.634247,18.845102,18.350887,2.47933543,15.54433034
1237663784198471706,20.501181,19.689451,19.036421,18.690241,18.525555,2.48550117,0.1589911
1237663784198471854,19.804882,17.693054,16.632278,16.182455,15.802747,2.48625225,0.16619827
1237652946379276488,19.210667,18.110584,17.424738,17.038052,16.789057,2.49737781,-10.89763225
1237652942102593784,22.921923,20.108841,18.326561,17.706404,17.264534,2.50334353,13.97607308
1237657192516944015,24.573181,21.598598,19.609522,18.66938,18.248837,2.50375581,1.15587355
1237663783124729982,17.845133,16.874603,16.536705,16.298338,16.139977,2.50945542,-0.63494534
1237652948526760320,22.89926,21.213503,19.271816,18.367344,18.000093,2.52059805,-9.15724346
1237652948526760191,21.474607,19.0229,17.726915,17.216286,16.965996,2.52429222,-9.29798694
1237663783661600967,22.053885,19.678102,18.055979,17.494326,17.041647,2.52430443,-0.24425025
1237657190369460234,20.898149,19.148161,18.180285,17.725697,17.588696,2.5260014,-0.43849297
1237663783124730007,19.853041,19.375942,18.917038,18.673189,18.413288,2.54155058,-0.7677091
1237663783661666393,19.058638,17.851057,17.137419,16.726807,16.463821,2.54556902,-0.2416742
1237652944250143268,22.23155,21.061682,19.102455,18.412294,17.994572,2.5547701,15.6566721
1237663784198537673,25.525198,22.319599,20.578623,19.686079,19.067892,2.56692174,0.13958036
1237663783124795459,17.866505,16.006956,15.093956,14.650375,14.295487,2.56694726,-0.73055855
1237663783661666419,20.002867,19.156921,18.563707,18.210375,18.076624,2.56928459,-0.38485675
1237672793961529889,22.162413,22.041021,20.010275,19.274426,18.820414,2.57555635,-9.54377215
1237652900212375857,22.241262,21.046824,19.381723,18.591681,18.186352,2.57691824,-10.41052896
1237663278465745097,20.399097,19.446726,18.908129,18.552431,18.418253,2.58057257,0.94301108
1237657191980073221,26.029425,20.882008,19.220087,18.507946,18.182184,2.58088124,0.71302403
1237672793961529944,21.643871,21.239319,19.346369,18.472321,17.909821,2.59118468,-9.55981447
1237656494041006204,19.257599,17.82089,17.236086,16.857224,16.640589,2.59515213,13.75961296
1237663278465744990,19.949869,18.106283,17.256401,16.775925,16.436241,2.60219636,0.92254083
1237663278465744996,19.79792,17.840433,16.96282,16.547508,16.256689,2.6057595,0.96139926
1237663543697146331,26.967016,20.880089,19.063278,18.400774,17.827291,2.61183093,0.29145283
1237657192516944570,22.565359,20.789988,19.093147,18.387503,17.970268,2.61253554,1.15286716
1237663783661666456,18.81835,17.46866,16.96723,16.724817,16.656294,2.62119932,-0.31947331
1237663543697146362,26.466818,20.542843,18.752422,18.136776,17.707291,2.62160298,0.37711453
1237652900212375660,20.223907,19.308466,18.853022,18.492357,18.426033,2.62340005,-10.27175941
1237663543697146374,25.918831,21.091333,19.38336,18.63961,18.161291,2.62684563,0.35521855
1237652943176466441,23.298698,20.695333,18.81531,18.136904,17.742113,2.65695613,14.92107741
1237672794498138318,22.515129,20.487963,18.607576,17.972286,17.616423,2.66315425,-8.73473733
1237656495651684572,19.483459,17.68223,16.785328,16.261002,15.809555,2.66902554,15.07162921
1237656494577942725,22.296204,20.091463,18.442993,17.79269,17.381952,2.67545216,14.20828784
1237652943176466848,22.595066,21.13238,19.222704,18.521568,18.092583,2.68138146,14.86236004
1237652943176466863,23.165895,21.217266,19.370287,18.589087,18.04105,2.68407507,14.93818828
1237652947989954709,24.247755,20.620991,18.756708,18.106752,17.764402,2.69073926,-9.60949646
1237652942639595962,23.073645,21.544106,19.66226,18.723749,18.165939,2.69149556,14.51773277
1237656495651684596,25.105125,20.628126,18.869619,18.203274,17.814192,2.70123904,15.1869642
1237652947989954906,22.50931,20.318188,18.655161,18.026859,17.520981,2.70689971,-9.60352236
1237663275781456027,19.611374,18.376112,17.526672,17.011229,16.861792,2.70980512,-1.04931011
1237656494577942729,23.097481,20.079466,18.437929,17.812252,17.361044,2.71300097,14.28213533
1237652943176466700,22.8391,20.229456,18.431843,17.783522,17.319273,2.71395184,14.88141998
1237652944250208779,23.55707,21.521885,19.543764,18.843992,18.526836,2.72132502,15.72784935
1237652943713337893,22.748835,20.989771,19.084333,18.413111,18.019417,2.72683385,15.38426247
1237663543697211486,19.258053,18.797396,18.067091,17.650127,17.350246,2.72855096,0.24759629
1237652943176466470,25.360329,21.483276,19.652275,18.804146,18.295822,2.76012554,14.84693665
1237663783661731967,19.772715,18.734436,18.096571,17.707621,17.534491,2.76550542,-0.39236955
1237672793425379506,20.321831,19.362766,18.663652,18.306438,18.091055,2.77384142,-11.17319839
1237656495651685116,25.588942,21.000689,19.076128,18.429802,18.030212,2.78159276,15.08009284
1237663277929005138,19.395378,18.512547,18.102839,17.831446,17.686983,2.78234215,0.59773245
1237656494577942834,21.223457,19.028654,18.824015,18.688614,18.625111,2.78567294,14.23964712
1237663275781521805,22.426008,20.987711,19.129375,18.268787,17.784117,2.78950457,-1.1292135
1237656496725492075,22.905474,21.570667,19.598656,18.865578,18.580839,2.79471581,15.9935079
1237652943713338071,23.560654,20.752512,18.958721,18.318226,17.901697,2.79575608,15.31220059
1237652946379342110,20.534842,19.525908,18.582735,18.140432,17.880564,2.79597153,-10.85134441
1237652946916278565,21.400085,19.711729,18.109447,17.442495,17.003721,2.81309299,-10.53640499
1237663277929005165,19.143826,18.173073,17.696424,17.352659,17.156225,2.81393175,0.45446051
1237652946379407680,22.424858,20.748056,18.967676,18.309233,18.084423,2.81416042,-10.94987401
1237652900749312097,19.769842,17.587645,16.707996,16.357151,16.170681,2.81699893,-9.93096376
1237663277929005169,19.184765,18.006348,17.498482,17.204195,17.066679,2.81949885,0.4897162
1237652629099774125,22.001307,19.312325,17.875095,17.312304,16.939251,2.82615562,-10.77241964
1237663275781521550,18.646097,16.69973,15.753963,15.287487,14.933083,2.8301922,-1.21624782
1237652629099774132,22.099798,20.009043,18.319519,17.706924,17.316364,2.84044747,-10.63027986
1237652946916278632,25.354872,20.821827,19.034235,18.412319,18.048944,2.8437612,-10.52328012
1237652900212441216,21.711037,20.017725,18.259369,17.650057,17.22913,2.85579405,-10.34029761
1237663784198668509,19.526356,18.669558,18.109985,17.757921,17.66564,2.86065507,0.06756583
1237663784198668593,22.724016,20.431448,18.639961,17.983767,17.637579,2.87085377,0.20277795
1237672793425379454,19.515667,17.518015,16.610209,16.19581,15.856806,2.87184898,-11.18974538
1237652947990020302,21.08482,19.424936,17.831537,17.246849,16.930794,2.87852996,-9.78204638
1237663543697276948,22.636448,20.971983,19.221613,18.254002,17.880478,2.88058133,0.2560121
1237652900212506790,22.458109,20.144638,18.385647,17.75559,17.313419,2.88163817,-10.36873432
1237652900212506793,22.64183,20.163891,18.429737,17.826609,17.420631,2.8845167,-10.22754131
1237652947990020311,21.080122,19.781689,18.245752,17.549297,17.156668,2.8981702,-9.7372021
1237657192517075134,21.351442,19.459803,18.206749,17.734406,17.368132,2.89938111,1.0606293
1237657190369591508,21.171488,19.475403,18.303654,17.209938,16.529268,2.91431263,-0.47283422
1237657190369591507,17.407618,15.896651,15.14885,14.779427,14.49989,2.91657402,-0.47393882
1237652942639661648,24.551083,21.086617,19.471163,18.505587,18.130774,2.93413365,14.50155798
1237652947453149401,21.788555,19.6168,18.099745,17.503963,17.084723,2.93461308,-10.05802983
1237652943176532204,19.569624,18.21236,17.682604,17.353275,17.095901,2.94134619,14.80472654
1237652946916278469,24.358494,20.133778,18.552317,17.905045,17.515846,2.94561443,-10.44141983
1237652629099839670,22.080282,20.006506,18.270071,17.647554,17.37364,2.95185133,-10.70483614
1237652947990085892,23.861752,20.725222,19.000271,18.29916,17.84337,2.96896996,-9.78468981
1237657190906527899,18.852842,16.536379,15.232391,14.396951,14.007351,2.97265351,-0.15279106
1237663277929070757,19.679741,18.756599,18.152914,17.727882,17.599554,2.97482164,0.53231198
1237652946379473201,23.714216,20.404268,18.707815,18.016161,17.696484,2.97762887,-10.99573709
1237652943713468595,26.496035,20.287189,18.388472,17.742645,17.287558,2.98252718,15.34947593
1237663275781587109,23.53256,20.345053,18.551603,17.902641,17.502779,3.00156117,-1.10064795
1237657191980269744,19.168434,17.326286,16.382511,15.945777,15.595528,3.01102666,0.68939992
1237673016761516204,25.262627,20.172981,18.455149,17.85833,17.446791,3.01105038,-11.20182662
1237663543697342613,19.830433,18.293497,17.474775,16.97328,16.591766,3.02063224,0.30621236
1237663784198733979,19.706627,18.729431,18.043285,17.623487,17.469995,3.02981055,0.09361781
1237672795035074808,22.209433,20.306532,18.653814,18.015867,17.578472,3.05874932,-8.83937467
1237663278465941673,19.917149,17.908419,16.857794,16.291538,15.849573,3.05898704,1.045087
1237652943713468555,19.84763,17.881336,16.792301,16.307503,15.910914,3.0618296,15.2017791
1237657191980270309,24.01021,20.98708,19.207598,18.460102,18.0191,3.06514757,0.63492585
1237672795035140314,21.257322,19.72883,17.971249,17.351063,16.981874,3.06676098,-8.87910383
1237652942102856212,22.82019,20.893261,18.999123,18.342648,17.859512,3.07154437,14.01912805
1237663783661863163,19.719656,18.186317,17.492046,17.14115,16.851685,3.08439782,-0.39977012
1237663277929136364,20.190393,19.345398,18.522827,18.136675,17.819256,3.08762674,0.61783555
1237672795035075059,22.88829,21.042213,19.764347,19.402149,19.166725,3.09304999,-8.7454168
1237663783661863791,24.917576,21.098745,19.232113,18.546881,18.100681,3.12078806,-0.2223575
1237652943176663320,21.381361,19.608082,18.028971,17.446671,17.026289,3.1272598,14.95170596
1237652947453280399,22.350662,20.251207,18.589775,18.022041,17.599913,3.1288233,-10.1482463
1237663784198734027,18.905968,17.505196,16.851139,16.443611,16.177364,3.13384193,0.12710122
1237663784198734090,22.078663,19.618763,18.106682,17.455769,17.010132,3.1345966,0.03603796
1237673016761516543,22.502598,21.135229,19.819965,19.272612,19.098612,3.13928063,-11.12050578
1237652946916409524,22.241488,20.203257,18.402971,17.792665,17.431286,3.14990846,-10.41861713
1237672795035140363,23.652082,20.89393,19.020575,18.349077,17.908054,3.15209378,-8.95547349
1237657191443464326,19.703669,18.420479,17.669847,17.330202,17.15177,3.15260882,0.26180185
1237663784198799821,24.308384,21.339268,19.480537,18.694912,18.337208,3.15513242,0.13034538
1237652942639792408,20.358128,18.279192,17.249554,16.797104,16.428188,3.16009689,14.55460963
1237652900749443255,21.707718,19.871084,18.155893,17.514271,17.12187,3.16192007,-9.92782336
1237652944250405341,23.038857,21.683414,19.547384,18.727846,18.189999,3.16207109,15.62920295
1237656495651881135,18.350372,16.64131,15.927761,15.582705,15.285122,3.16929952,15.12435037
1237652944787275860,20.082123,19.455311,18.880875,18.578278,18.454487,3.17208337,16.22597553
1237663783125057698,22.347797,20.441277,18.60298,17.955576,17.498058,3.18189884,-0.70761467
1237656495115010365,20.602041,18.923201,17.987902,17.540567,17.204962,3.18511537,14.71488653
1237657191980335311,19.958887,18.000153,16.87612,16.408192,16.081205,3.19759389,0.76005847
1237657191980335318,19.667446,17.525978,16.370394,15.88531,15.545943,3.1982439,0.78772866
1237652942639792774,19.54579,17.864573,17.513546,17.047037,18.19882,3.20121522,14.5251865
1237663278466007690,25.020176,20.589521,18.816181,18.200548,17.818274,3.20454529,0.88939009
1237663783661928931,22.459423,21.194038,19.454884,18.583939,18.248198,3.20473994,-0.39265369
1237657191443464495,22.018747,19.255161,18.011778,17.52552,17.27976,3.21210297,0.28918134
1237657191443464568,22.612268,20.509174,18.70261,17.962469,17.604757,3.21941214,0.33340082
1237663277929201770,19.52985,18.47698,17.966324,17.651794,17.50786,3.21998361,0.5121106
1237663275781718069,19.337172,18.095741,17.336924,16.918331,16.705908,3.22735024,-1.25482143
1237663275781718128,20.547783,19.375713,18.523365,18.118996,17.86878,3.2278086,-1.21355769
1237663783661928567,19.405807,18.578264,18.161888,17.815752,17.651974,3.23421501,-0.34742521
1237672793962315833,19.253822,17.824419,17.515705,17.274874,17.184231,3.23830363,-11.12858757
